partition,bvid,text,pred_label,pred_raw_label,model_confidence,prob_positive,prob_neutral,prob_negative,lexicon_score,pos_cnt,neg_cnt
学习区,BV1Kr4y1i7ru,都是卷王,负面,中性,0.495183214986732,0.08643548629571057,0.495183214986732,0.41838129871755747,0.0,0,0
学习区,BV1Kr4y1i7ru,"数据并不是页面写死,数据库中的这些网站,数据取出来,加入对应的业务逻辑",负面,负面,0.7245327732894911,0.16431086636806494,0.111156360342444,0.7245327732894911,0.0,0,0
学习区,BV1Kr4y1i7ru,会计来卷了,负面,中性,0.6869693254790159,0.12658626879100815,0.6869693254790159,0.18644440572997592,0.0,0,0
学习区,BV1Kr4y1i7ru,孙悟空的声音,负面,中性,0.49851528071663737,0.0865876083837078,0.49851528071663737,0.4148971108996549,0.0,0,0
学习区,BV1Kr4y1i7ru,原来我已经是一名工程工程师了dog,负面,负面,0.534380258716029,0.11553534693338036,0.35008439435059063,0.534380258716029,0.0,0,0
学习区,BV1Kr4y1i7ru,2倍速不够的，用edge插件视频速度控制，最高16倍速,负面,负面,0.8563066405690707,0.06631682200197755,0.07737653742895167,0.8563066405690707,0.0,0,0
学习区,BV1Kr4y1i7ru,1.5倍有出现孙悟空,负面,中性,0.5772142396700631,0.11524232348592651,0.5772142396700631,0.30754343684401025,0.0,0,0
学习区,BV1Kr4y1i7ru,师傅被妖怪抓走了,负面,中性,0.5989403570362533,0.1444502455829915,0.5989403570362533,0.2566093973807553,0.0,0,0
学习区,BV1Kr4y1i7ru,大家好， 我是来听催眠曲的，不知为啥，就MySQL困，别的都不困,负面,负面,0.9441068358430628,0.02311400623960341,0.03277915791733381,0.9441068358430628,-1.0,1,2
学习区,BV1Kr4y1i7ru,注意，这一集的内容已经结束了，后面都是广告,负面,负面,0.9215302467337259,0.037896154893818236,0.040573598372456,0.9215302467337259,0.0,0,0
学习区,BV1Kr4y1i7ru,为了让事务存储迎请缩影优化所就是一种重要的我形式,负面,负面,0.6429285023346162,0.12290083163590632,0.2341706660294776,0.6429285023346162,0.0,0,0
学习区,BV1Kr4y1i7ru,老师的声音好像猴哥啊,负面,负面,0.6580652575454845,0.0987622704041479,0.24317247205036754,0.6580652575454845,0.0,0,0
学习区,BV1Kr4y1i7ru,产品经理来卷了,负面,中性,0.6444098977184003,0.13584829208841603,0.6444098977184003,0.21974181019318373,0.0,0,0
学习区,BV1Kr4y1i7ru,梦开始的地方,负面,中性,0.6512567380827474,0.10824102397743829,0.6512567380827474,0.24050223793981423,0.0,0,0
学习区,BV1Kr4y1i7ru,吉尔吉斯斯坦传奇哨兵 上号,负面,中性,0.483036861509446,0.15085553653693456,0.483036861509446,0.36610760195361947,0.0,0,0
学习区,BV1Kr4y1i7ru,学前端，要学数据库吗/,负面,中性,0.6496776196759406,0.11677161333304542,0.6496776196759406,0.23355076699101385,0.0,0,0
学习区,BV1Kr4y1i7ru,我是大专能看这个吗,负面,负面,0.5473608040661466,0.02726170806962401,0.4253774878642294,0.5473608040661466,0.0,0,0
学习区,BV1Kr4y1i7ru,搞土木常年在工地被女友分手了，学MySQL换行业挽回一下。,负面,负面,0.8970338222853806,0.04249330121602223,0.06047287649859709,0.8970338222853806,0.0,0,0
学习区,BV1Kr4y1i7ru,老师的声音好像孙悟空,负面,负面,0.5381480697599298,0.10419398979856266,0.3576579404415075,0.5381480697599298,0.0,0,0
学习区,BV1Kr4y1i7ru,好像每个老师都这么讲,负面,负面,0.5117918193528492,0.17990965501404718,0.30829852563310356,0.5117918193528492,0.0,0,0
学习区,BV1Kr4y1i7ru,基础就够了，后面慢慢练,负面,中性,0.46702528528809956,0.10978173308814831,0.46702528528809956,0.42319298162375213,0.0,0,0
学习区,BV1Kr4y1i7ru,2025年08月26日 14：53还有100人呢。。,负面,中性,0.5738283436469435,0.19080320968210543,0.5738283436469435,0.2353684466709512,0.0,0,0
学习区,BV1Kr4y1i7ru,中国矿业大学的有吗,负面,中性,0.5710860467595016,0.062323389967483656,0.5710860467595016,0.3665905632730148,0.0,0,0
学习区,BV1Kr4y1i7ru,和老师隔了一层壁 完全听不懂他在说什么 跑过来自学,负面,中性,0.5967492803479856,0.1341863334374631,0.5967492803479856,0.2690643862145512,-2.0,0,2
学习区,BV1Kr4y1i7ru,有大数据的吗？,负面,负面,0.68571568613118,0.06021656912160243,0.25406774474721755,0.68571568613118,0.0,0,0
学习区,BV1Kr4y1i7ru,声音比较尖,负面,中性,0.5109525428710233,0.11254081055457259,0.5109525428710233,0.37650664657440414,0.0,0,0
学习区,BV1Kr4y1i7ru,学完这个课能拿捏学校的数据库原理与运用不,负面,负面,0.882282915357159,0.042771387888041704,0.0749456967547994,0.882282915357159,0.0,0,0
学习区,BV1Kr4y1i7ru,感觉像猴哥的声音,负面,中性,0.5160033772852063,0.09707903709118491,0.5160033772852063,0.3869175856236088,0.0,0,0
学习区,BV1Kr4y1i7ru,看完隔壁老杜的java来学mysql了,负面,中性,0.5110839751157166,0.15114190991300028,0.5110839751157166,0.3377741149712831,0.0,0,0
学习区,BV1Kr4y1i7ru,卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷卷,负面,负面,0.9990611828326573,0.0009386813984405115,1.3576890217219006e-07,0.9990611828326573,0.0,0,0
学习区,BV1Kr4y1i7ru,hnmz小朱计划10天学完，从删库到跑路，隔壁Java还有一百多集,负面,负面,0.7048578607494113,0.19008879828236425,0.10505334096822451,0.7048578607494113,0.0,0,0
学习区,BV1Kr4y1i7ru,孙悟空绷不住了,负面,中性,0.8499648179164161,0.10755135992977717,0.8499648179164161,0.04248382215380679,-2.0,0,2
学习区,BV1Kr4y1i7ru,数据库的不懂得 可以问我，不难,负面,负面,0.699758934585202,0.08107674323072006,0.21916432218407794,0.699758934585202,0.0,1,1
学习区,BV1Kr4y1i7ru,月薪4K，学习到哪合适？,负面,负面,0.748506732425052,0.05465954462652577,0.1968337229484222,0.748506732425052,0.0,0,0
学习区,BV1Kr4y1i7ru,面试造航母,负面,中性,0.6663109048822989,0.07267926043944689,0.6663109048822989,0.26100983467825417,0.0,0,0
学习区,BV1Kr4y1i7ru,老师是孙悟空吗？,负面,负面,0.6587437015926848,0.07354960693050469,0.2677066914768105,0.6587437015926848,0.0,0,0
学习区,BV1Kr4y1i7ru,一句猴哥笑死我，果然网友从不让我失望,负面,中性,0.4997809067908019,0.3223548116871656,0.4997809067908019,0.17786428152203243,-1.0,1,2
学习区,BV1Kr4y1i7ru,这是啥时候的商品,负面,中性,0.6329577728659773,0.11515840378675114,0.6329577728659773,0.2518838233472715,0.0,0,0
