partition,bvid,title,view_count,like_count,coin_count,favorite_count,reply_count,danmaku_count,text,label,text_clean,pos_cnt,neg_cnt,word_len,exclaim_cnt,question_cnt,lexicon_score,lexicon_pos_score,lexicon_neg_score,lexicon_abs_score,sentiment_density,pred,model_confidence,prob_negative,prob_neutral,prob_positive,pred_raw_label,pred_label
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,大家好， 我是来听催眠曲的，不知为啥，就MySQL困，别的都不困,,大家好，我是来听催眠曲的，不知为啥，就MySQL困，别的都不困,1,2,17,0,0,-1.0,1.0,2.0,1.0,0.17647058823529413,1,0.9941549420243178,0.0,0.005845057975682244,0.9941549420243178,正面,负面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,和老师隔了一层壁 完全听不懂他在说什么 跑过来自学,,和老师隔了一层壁完全听不懂他在说什么跑过来自学,0,2,11,0,0,-2.0,0.0,2.0,2.0,0.18181818181818182,1,0.7981742875197501,0.0,0.20182571248024994,0.7981742875197501,正面,负面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,一句猴哥笑死我，果然网友从不让我失望,,一句猴哥笑死我，果然网友从不让我失望,1,2,10,0,0,-1.0,1.0,2.0,1.0,0.3,1,0.7071384408855328,0.0,0.2928615591144672,0.7071384408855328,正面,负面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,老师讲的听不懂，还是b站大学牛壁,,老师讲的听不懂，还是b站大学牛壁,0,2,9,0,0,-2.0,0.0,2.0,2.0,0.2222222222222222,1,0.5203120538474324,0.0,0.4796879461525676,0.5203120538474324,正面,负面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,仅修改数据表中名称时，通常用alter table…modify实现，错误的原因？,,仅修改数据表中名称时，通常用altertablemodify实现，错误的原因？,0,3,15,0,1,-3.0,0.0,3.0,3.0,0.2,1,0.9631471203727076,0.0,0.036852879627292445,0.9631471203727076,正面,负面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,前面问专科生出去能不能找到工作的，我告诉你本科出去都不行了现在，都不要实习了,,前面问专科生出去能不能找到工作的，我告诉你本科出去都不行了现在，都不要实习了,0,2,19,0,0,-2.0,0.0,2.0,2.0,0.10526315789473684,1,0.9979903908520964,0.0,0.0020096091479036016,0.9979903908520964,正面,负面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,我面试 应聘者的时候，问的数据库问题，基本都不会，我最后随便选了一个看着顺眼的,,我面试应聘者的时候，问的数据库问题，基本都不会，我最后随便选了一个看着顺眼的,2,6,17,0,0,-4.0,2.0,6.0,4.0,0.47058823529411764,1,0.9842464580671628,0.0,0.01575354193283718,0.9842464580671628,正面,负面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,都别卷了累坏了怎么办？这个饭碗还是给我吧。,,都别卷了累坏了怎么办？这个饭碗还是给我吧。,0,1,10,0,1,-1.0,0.0,1.0,1.0,0.1,1,0.7305591931121592,0.0,0.2694408068878408,0.7305591931121592,正面,负面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,其实实际生产时候用不了这么多东西，就最基础的增删改查就完事了，真要你优化数据库情况太少了,,其实实际生产时候用不了这么多东西，就最基础的增删改查就完事了，真要你优化数据库情况太少了,0,1,23,0,0,-1.0,0.0,1.0,1.0,0.043478260869565216,1,0.9998628764273677,0.0,0.0001371235726322917,0.9998628764273677,正面,负面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,广西梧州学院24级学长前来内卷,,广西梧州学院24级学长前来内卷,0,1,9,0,0,-1.0,0.0,1.0,1.0,0.1111111111111111,1,0.6138633459498498,0.0,0.3861366540501502,0.6138633459498498,正面,负面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,报ms的，结果报错了，搞成my了,,报ms的，结果报错了，搞成my了,0,1,8,0,0,-1.0,0.0,1.0,1.0,0.125,1,0.5685002892253225,0.0,0.4314997107746775,0.5685002892253225,正面,负面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,linux安装MySQL安装不了，虚拟机创建不成功怎么办,,linux安装MySQL安装不了，虚拟机创建不成功怎么办,1,2,11,0,0,-1.0,1.0,2.0,1.0,0.2727272727272727,1,0.8547701866157251,0.0,0.14522981338427488,0.8547701866157251,正面,负面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,其实24年入JAVA不算49年入国军，JAVA是给低学历普通人入行的，其他很多编程语言工作卡学历，只能说是红利没多少了,,其实24年入JAVA不算49年入国军，JAVA是给低学历普通人入行的，其他很多编程语言工作卡学历，只能说是红利没多少了,0,1,28,0,0,-1.0,0.0,1.0,1.0,0.03571428571428571,1,0.999995363647891,0.0,4.636352109010922e-06,0.999995363647891,正面,负面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,"mysql课程基础,近几届,sql语句的基本函数约束夺宝,事务,成为初级摸鱼说起来市级企业",,"mysql课程基础,近几届,sql语句的基本函数约束夺宝,事务,成为初级摸鱼说起来市级企业",0,2,23,0,0,-2.0,0.0,2.0,2.0,0.08695652173913043,1,0.9998212378424454,0.0,0.00017876215755463498,0.9998212378424454,正面,负面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,计算机二级不能说没用，只能说一点用没有,,计算机二级不能说没用，只能说一点用没有,0,2,11,0,0,-2.0,0.0,2.0,2.0,0.18181818181818182,1,0.8193942309340531,0.0,0.18060576906594694,0.8193942309340531,正面,负面
学习区,BV1Kr4y1i7ru,黑马程序员 MySQL数据库入门到精通，从mysql安装到mysql高级、mysql优化全囊括,12757157,182502,155355,467973,15953,230155,nt学委，你自己学过然后嫌老师讲的慢，别的同学你一点不管,,nt学委，你自己学过然后嫌老师讲的慢，别的同学你一点不管,0,1,15,0,0,-1.0,0.0,1.0,1.0,0.06666666666666667,1,0.984761446561642,0.0,0.015238553438358005,0.984761446561642,正面,负面
