review_label,label_schema,review_reason,partition,bvid,text,pred_label,pred_raw_label,model_confidence,lexicon_score,prob_positive,prob_neutral,prob_negative,pos_cnt,neg_cnt,word_len
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,爱了爱了,正面,正面,0.4541438197071954,3.0,0.4541438197071954,0.3793997010345112,0.1664564792582933,3,0,2
-1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,有几个能是高级，2%通过率都没有,正面,正面,0.4576565444328318,3.0,0.4576565444328318,0.1272147067874266,0.4151287487797415,3,0,9
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,明白明白,正面,中性,0.4693702319396347,3.0,0.3680556703889122,0.4693702319396347,0.1625740976714531,3,0,2
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,不错不错,正面,中性,0.4693702319396347,3.0,0.3680556703889122,0.4693702319396347,0.1625740976714531,3,0,2
-1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,声音太刺耳了，溜了，溜了,负面,中性,0.4353631318073634,-2.8,0.3556280744808135,0.4353631318073634,0.209008793711823,0,2,7
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,已点赞投币,正面,正面,0.5306943133645844,4.0,0.5306943133645844,0.3077563747848178,0.1615493118505977,4,0,3
0,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,我面试 应聘者的时候，问的数据库问题，基本都不会，我最后随便选了一个看着顺眼的,负面,中性,0.5327056413118296,-4.0,0.2401161371009531,0.5327056413118296,0.2271782215872171,2,6,17
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,太好了，先会基础就行了,正面,正面,0.5445366850758994,4.0,0.5445366850758994,0.2804624867238103,0.1750008282002904,4,0,6
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,我杨子肾就没学不会的课程,负面,中性,0.5576553019229923,-3.0,0.054841620701098,0.5576553019229923,0.3875030773759097,0,3,6
-1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,在上mysql课 老师讲的太快 跟不上,负面,中性,0.5763888919132802,-4.0,0.3267443668772303,0.5763888919132802,0.0968667412094894,0,4,8
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,数据库超级简单，不懂的可以问我,正面,正面,0.5782659220773394,3.0,0.5782659220773394,0.159728599939516,0.2620054779831445,3,1,8
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,加油加油,正面,正面,0.5925630254985264,3.0,0.5925630254985264,0.2618817117766813,0.1455552627247923,3,0,2
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,这个声音，有点子念动画片的感觉哈哈哈,正面,正面,0.5936627860015784,3.0,0.5936627860015784,0.1198116425804708,0.2865255714179507,3,0,9
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,已三连,正面,中性,0.594428516741625,3.0,0.2616540063045109,0.594428516741625,0.1439174769538641,3,0,1
1,"1=正面,0=中性,-1=负面",模型低置信度,学习区,BV1Kr4y1i7ru,PPT做得也很好,正面,正面,0.4335744509458137,2.5,0.4335744509458137,0.1387291614653006,0.4276963875888856,2,0,6
